# SPINCORE_PREFLOP_RANGE_EQUITY_CLASS_V1
# Exact suit-symmetry reduction of the 1326-combo table; columns list4 list6 list9 list12 list15.
class	list4	list6	list9	list12	list15
AA	0.83200857	0.83827091	0.84622469	0.84873028	0.85070519
AKs	0.45700000	0.51782500	0.56360000	0.58352619	0.60145577
AKo	0.42869167	0.49328833	0.54179892	0.56297143	0.58202308
AQs	0.35565385	0.41377500	0.49651935	0.53362857	0.55778797
AQo	0.31522895	0.38214000	0.47024516	0.50979524	0.53507658
AJs	0.32006923	0.35534762	0.43089032	0.48243071	0.51731772
AJo	0.28139744	0.31652742	0.40011505	0.45490236	0.49193987
ATs	0.30186154	0.33488095	0.36924516	0.43632047	0.47846076
ATo	0.26222564	0.29728889	0.33421828	0.40565433	0.45049304
A9s	0.29515000	0.31422381	0.33341562	0.38355512	0.43088302
A9o	0.25548810	0.27514286	0.29520000	0.34904488	0.39930503
A8s	0.29787857	0.30413810	0.32731875	0.36158462	0.39867170
A8o	0.25847857	0.26454286	0.28884479	0.32410698	0.36486604
A7s	0.29930000	0.30550000	0.31981875	0.34923615	0.38090556
A7o	0.26005238	0.26638333	0.28092396	0.31084574	0.34480745
A6s	0.29694286	0.30371364	0.30988750	0.33873846	0.36868642
A6o	0.25750952	0.26447576	0.27035937	0.30087308	0.33166398
A5s	0.31055714	0.31752273	0.32387273	0.34598154	0.37293704
A5o	0.27223095	0.27942273	0.28574747	0.30884000	0.33642671
A4s	0.30711429	0.31384545	0.32069394	0.33653385	0.36320185
A4o	0.26848571	0.27542727	0.28230303	0.29873462	0.32594720
A3s	0.30314286	0.31003636	0.31692424	0.33289248	0.35444815
A3o	0.26415952	0.27126061	0.27819192	0.29493759	0.31745679
A2s	0.29919286	0.30636818	0.31290000	0.32920000	0.35059636
A2o	0.25981429	0.26724242	0.27378687	0.29088722	0.31337939
KK	0.66206486	0.70037077	0.71396571	0.72114266	0.72371186
KQs	0.31882308	0.35168594	0.38936731	0.40938601	0.42711173
KQo	0.28039744	0.31577188	0.35527404	0.37608310	0.39529888
KJs	0.30812750	0.35587015	0.37778558	0.39689930	0.41385698
KJo	0.26981500	0.31978806	0.34301442	0.36350559	0.38113483
KTs	0.29004500	0.35023676	0.36685385	0.38937063	0.40144637
KTo	0.25075750	0.31431029	0.33144423	0.35557203	0.36787640
K9s	0.27861860	0.32514706	0.35864815	0.36634685	0.37723687
K9o	0.23885814	0.28752353	0.32250833	0.33096503	0.34257654
K8s	0.27431163	0.30665882	0.34350370	0.35884521	0.36098715
K8o	0.23433721	0.26792647	0.30642870	0.32275411	0.32525140
K7s	0.27694419	0.30950563	0.33928426	0.35555479	0.36462637
K7o	0.23723488	0.27129718	0.30200370	0.31934795	0.32900495
K6s	0.27760233	0.31085211	0.33309352	0.35321429	0.36042418
K6o	0.23794651	0.27276197	0.29545093	0.31705782	0.32457857
K5s	0.27611860	0.30973944	0.33157838	0.34656803	0.35391538
K5o	0.23639070	0.27161127	0.29407838	0.31003129	0.31772527
K4s	0.27260698	0.30617465	0.32865946	0.33811293	0.34597143
K4o	0.23260930	0.26776056	0.29092162	0.30098367	0.30924176
K3s	0.26858372	0.30248028	0.32515946	0.33482467	0.33997049
K3o	0.22823488	0.26374507	0.28711441	0.29755133	0.30293716
K2s	0.26452558	0.29888310	0.32152162	0.33138000	0.33671667
K2o	0.22380930	0.25981127	0.28313063	0.29377933	0.29948280
QQ	0.52994186	0.60636769	0.65672762	0.67650420	0.68345359
QJs	0.31732326	0.34597164	0.37574904	0.39801049	0.40806444
QJo	0.27993488	0.30986119	0.34130577	0.36505734	0.37582333
QTs	0.30042558	0.34032059	0.36491635	0.39053846	0.40180389
QTo	0.26214651	0.30434559	0.32984038	0.35718322	0.36926556
Q9s	0.28961304	0.31518676	0.35683056	0.36761678	0.38196519
Q9o	0.25098043	0.27750588	0.32099630	0.33267622	0.34821160
Q8s	0.28287391	0.29669853	0.34168889	0.36001849	0.36575028
Q8o	0.24383913	0.25791176	0.30491759	0.32434658	0.33093425
Q7s	0.27378043	0.28833239	0.32476389	0.34415411	0.35682663
Q7o	0.23416522	0.24927887	0.28691111	0.30749452	0.32125380
Q6s	0.27701087	0.29157606	0.32088704	0.34435034	0.35525163
Q6o	0.23764348	0.25278451	0.28284630	0.30793265	0.31964783
Q5s	0.27569130	0.29044366	0.31977027	0.33769864	0.34882337
Q5o	0.23627826	0.25164085	0.28190450	0.30091156	0.31289022
Q4s	0.27234783	0.28684366	0.31682613	0.32923265	0.34095543
Q4o	0.23265652	0.24773380	0.27871261	0.29184830	0.30448370
Q3s	0.26854130	0.28311972	0.31330450	0.32615200	0.33504054
Q3o	0.22849130	0.24367606	0.27488198	0.28862533	0.29825838
Q2s	0.26468261	0.27948451	0.30964775	0.32269133	0.33190426
Q2o	0.22428261	0.23972535	0.27088739	0.28484467	0.29493404
JJ	0.44195778	0.53238592	0.59966190	0.63193241	0.64752210
JTs	0.29871591	0.34970563	0.36392788	0.39355903	0.40499667
JTo	0.26154773	0.31452535	0.32921058	0.36093056	0.37297167
J9s	0.28855106	0.32604648	0.35595556	0.37079792	0.38533702
J9o	0.25099574	0.28934507	0.32043889	0.33660556	0.35209724
J8s	0.28143404	0.30657606	0.34080463	0.36331156	0.36930166
J8o	0.24346383	0.26870282	0.30437130	0.32840000	0.33501105
J7s	0.27238936	0.29760541	0.32356667	0.34715034	0.36021957
J7o	0.23385319	0.25941216	0.28604352	0.31123333	0.32515598
J6s	0.26269574	0.28894324	0.30692593	0.33458311	0.34582283
J6o	0.22352766	0.25017838	0.26832500	0.29801554	0.30985326
J5s	0.26428723	0.29052568	0.30852523	0.33055338	0.34199402
J5o	0.22530426	0.25195270	0.27030360	0.29382905	0.30590652
J4s	0.26097660	0.28704054	0.30556306	0.32214459	0.33413043
J4o	0.22170851	0.24817703	0.26710090	0.28482905	0.29750543
J3s	0.25718298	0.28343108	0.30202252	0.31925563	0.32826054
J3o	0.21756809	0.24423243	0.26323604	0.28179404	0.29131351
J2s	0.25334681	0.27990811	0.29833964	0.31579470	0.32524787
J2o	0.21338085	0.24038108	0.25921441	0.27801656	0.28812553
TT	0.35837556	0.47872329	0.54258952	0.59093793	0.61162320
T9s	0.28306809	0.32978750	0.35565556	0.37372153	0.38927845
T9o	0.24571064	0.29412778	0.32050278	0.34003958	0.35658619
T8s	0.27633404	0.31003611	0.34051019	0.36623810	0.37337569
T8o	0.23857660	0.27315694	0.30441759	0.33180612	0.33961934
T7s	0.26764468	0.30097333	0.32300093	0.34992245	0.36412283
T7o	0.22934255	0.26373600	0.28582500	0.31450136	0.32959783
T6s	0.25797447	0.29236800	0.30605833	0.33713446	0.34959185
T6o	0.21905319	0.25458267	0.26780278	0.30104797	0.31415543
T5s	0.24538085	0.28122000	0.29532162	0.32025608	0.33285598
T5o	0.20568085	0.24278133	0.25657838	0.28313176	0.29642500
T4s	0.24522979	0.28070000	0.29480541	0.31443041	0.32761250
T4o	0.20548936	0.24219333	0.25601622	0.27691284	0.29084728
T3s	0.24136596	0.27709200	0.29122973	0.31171060	0.32176432
T3o	0.20129787	0.23827333	0.25213243	0.27407881	0.28470270
T2s	0.23750000	0.27359333	0.28753604	0.30825033	0.31889734
T2o	0.19705957	0.23443333	0.24808739	0.27028212	0.28163936
99	0.32909400	0.41956986	0.49403451	0.54214897	0.56969235
98s	0.27878200	0.30637778	0.35083750	0.36566327	0.37551429
98o	0.24154400	0.26936667	0.31547768	0.33125714	0.34209121
97s	0.27570800	0.30030133	0.33572679	0.35074830	0.36724054
97o	0.23833400	0.26309067	0.29946964	0.31545102	0.33309784
96s	0.26754000	0.29262667	0.31973839	0.33817770	0.35297514
96o	0.22970200	0.25496533	0.28250982	0.30225203	0.31797243
95s	0.25603800	0.28151733	0.30859217	0.32111149	0.33623189
95o	0.21751400	0.24319733	0.27085391	0.28414257	0.30023838
94s	0.24112000	0.26751733	0.29553043	0.30231014	0.31801946
94o	0.20156800	0.22822800	0.25687652	0.26406419	0.28081568
93s	0.24093000	0.26699333	0.29506783	0.30239007	0.31492419
93o	0.20133000	0.22762933	0.25634174	0.26422781	0.27762366
92s	0.23704200	0.26345333	0.29146000	0.29889272	0.31211217
92o	0.19708200	0.22375600	0.25240783	0.26041921	0.27464021
88	0.33037600	0.36770822	0.46054159	0.50900662	0.53582514
87s	0.28881400	0.30037867	0.33935625	0.36015933	0.37081784
87o	0.25232800	0.26354667	0.30361250	0.32556800	0.33712270
86s	0.28106200	0.29323333	0.32352946	0.34805629	0.35671081
86o	0.24409600	0.25595733	0.28681607	0.31285563	0.32215784
85s	0.26963400	0.28240133	0.31222000	0.33118079	0.33992324
85o	0.23199200	0.24446800	0.27496000	0.29495629	0.30437622
84s	0.25470400	0.26836933	0.29914000	0.31249934	0.32158649
84o	0.21604200	0.22947733	0.26097304	0.27502517	0.28483351
83s	0.23968000	0.25362933	0.28556522	0.29964740	0.30545161
83o	0.19999000	0.21370000	0.24643304	0.26137143	0.26772151
82s	0.23948000	0.25339333	0.28506522	0.29915195	0.30548836
82o	0.19972000	0.21339333	0.24584696	0.26079545	0.26780265
77	0.33048400	0.35058205	0.42435221	0.47762583	0.50712593
76s	0.29351200	0.30054872	0.32612679	0.35151060	0.36531489
76o	0.25734400	0.26413462	0.28978125	0.31669139	0.33133298
75s	0.28248000	0.29095513	0.31521478	0.33497881	0.34901862
75o	0.24566200	0.25397821	0.27833913	0.29917483	0.31409309
74s	0.26761600	0.27775897	0.30236174	0.31630199	0.33091702
74o	0.22978800	0.23989872	0.26459739	0.27925430	0.29481064
73s	0.25257400	0.26362051	0.28876261	0.30312338	0.31478519
73o	0.21374000	0.22479487	0.25004348	0.26524870	0.27770582
72s	0.23755400	0.24883846	0.27470348	0.28972857	0.30182500
72o	0.19763800	0.20893974	0.23496000	0.25089481	0.26390937
66	0.33135200	0.35165897	0.39041239	0.45128562	0.48291481
65s	0.29550400	0.30450256	0.31969913	0.34266053	0.35532979
65o	0.25949600	0.26838974	0.28329826	0.30762434	0.32091649
64s	0.28102600	0.29154615	0.30753478	0.32442829	0.33755266
64o	0.24402200	0.25455513	0.27027913	0.28817829	0.30197287
63s	0.26601200	0.27746410	0.29408609	0.31108323	0.32133810
63o	0.22798400	0.23950513	0.25588783	0.27400581	0.28479630
62s	0.25097200	0.26267692	0.28001217	0.29770710	0.30808021
62o	0.21189200	0.22365128	0.24078957	0.25967097	0.27066771
55	0.32991000	0.35061538	0.37723220	0.42396275	0.45742963
54s	0.29371000	0.30455769	0.31724492	0.33062237	0.34388989
54o	0.25758000	0.26845897	0.28097627	0.29499276	0.30891755
53s	0.27869200	0.29072692	0.30449237	0.31751677	0.32813228
53o	0.24152400	0.25367949	0.26733220	0.28105419	0.29221905
52s	0.26364000	0.27595769	0.29094661	0.30424258	0.31470365
52o	0.22544400	0.23787436	0.25283136	0.26685161	0.27791771
44	0.32547000	0.34613974	0.37299068	0.39428497	0.42912063
43s	0.27528800	0.28700385	0.30142797	0.30795484	0.31903968
43o	0.23785400	0.24964872	0.26401864	0.27097742	0.28263386
42s	0.26024000	0.27249231	0.28806017	0.29499548	0.30606042
42o	0.22177800	0.23412564	0.24970424	0.25709935	0.26880260
33	0.32025800	0.34108205	0.36801949	0.38089241	0.40379895
32s	0.25632800	0.26881154	0.28437627	0.28961456	0.29898860
32o	0.21753200	0.23014231	0.24572373	0.25154684	0.26149119
22	0.31473400	0.33570897	0.36246525	0.37538418	0.39117806
